Id,Fabricante,Nombre,Version,Tipo,EndofLife,Grupo,Responsable
1,SweetScape Software Inc.,010 Editor 2.x,2.x,2,-1,sw-Huerfano,ND
2,Adobe Systems,Adobe Acrobat 6.x,6.x,2,1,Windows XP,ND
3,Adobe Systems,Adobe Acrobat 7.x,7.x,2,1,Windows XP,ND
4,Adobe Systems,Adobe Acrobat 7.x,7.x,2,1,SW_top20,ND
5,Adobe Systems,Adobe Acrobat 8.x,8.x,2,1,DGTI,ND
6,Adobe Systems,Adobe Acrobat 8.x,8.x,2,1,SW_top20,ND
7,Adobe Systems,Adobe Acrobat 9.x,9.x,2,1,DGTI,ND
8,Adobe Systems,Adobe Acrobat 9.x,9.x,2,1,SW_top20,ND
9,Adobe Systems,Adobe Acrobat X 10.x,10.x,2,0,sw-Huerfano,ND
10,Adobe Systems,Adobe Digital Editions 1.x,1.x,2,1,ETB,ND
11,Adobe Systems,Adobe Flash Builder 4.x,4.x,2,0,sw-Huerfano,ND
12,Adobe Systems,Adobe Flash Player 10.x,10.x,2,1,DGTI,ND
13,Adobe Systems,Adobe Flash Player 10.x,10.x,2,1,SW_top20,ND
14,Adobe Systems,Adobe Flash Player 11.x,11.x,2,0,ETB,ND
15,Adobe Systems,Adobe Flash Player 11.x,11.x,2,0,SW_top20,ND
16,Adobe Systems,Adobe Flash Player 12.x,12.x,2,1,SW_top20,ND
17,Adobe Systems,Adobe Flash Player 13.x,13.x,2,0,SW_top20,ND
18,Adobe Systems,Adobe Flash Player 14.x,14.x,2,0,SW_top20,ND
19,Adobe Systems,Adobe Flash Player 9.x,9.x,2,1,ETB,ND
20,Adobe Systems,Adobe Flash Player 9.x,9.x,2,1,SW_top20,ND
21,Adobe Systems,Adobe Flex 2.x,2.x,2,1,sw-Huerfano,ND
22,Adobe Systems,Adobe Flex 3.x,3.x,2,0,DGTI,ND
23,Adobe Systems,Adobe Flex 3.x,3.x,2,0,sw-Huerfano,ND
24,Adobe Systems,Adobe Flex 4.x,4.x,2,0,sw-Huerfano,ND
25,Adobe Systems,Adobe Illustrator 10.x,10.x,2,1,DGE,ND
26,Adobe Systems,Adobe InDesign CS3 5.x,5.x,2,1,DGTI,ND
27,Adobe Systems,Adobe Pagemaker 7.x,7.x,2,0,DGE,ND
28,Adobe Systems,Adobe Photosho CS4 11.x,11.x,2,1,DGTI,ND
29,Adobe Systems,Adobe Photoshop 7.x,7.x,2,1,DGE,ND
30,Adobe Systems,Adobe Photoshop CS3 10.x,10.x,2,1,sw-Huerfano,ND
31,Adobe Systems,Adobe Photoshop CS4 11.x,11.x,2,1,sw-Huerfano,ND
32,Adobe Systems,Adobe Photoshop CS5 12.x,12.x,2,0,sw-Huerfano,ND
33,Adobe Systems,Adobe Photoshop CS6 13.x,13.x,2,0,sw-Huerfano,ND
34,Adobe Systems,Adobe Premiere Pro CS3 3.x,3.x,2,0,DGTI,ND
35,Adobe Systems,Adobe Premiere Pro CS4 4.x,4.x,2,0,sw-Huerfano,ND
36,Adobe Systems,Adobe Reader 8.x,8.x,2,1,SW_top20,ND
37,Adobe Systems,Adobe Reader 9.x,9.x,2,1,DGTI,ND
38,Adobe Systems,Adobe Reader 9.x,9.x,2,1,SW_top20,ND
39,Adobe Systems,Adobe Reader X 10.x,10.x,2,0,SW_top20,ND
40,Adobe Systems,Adobe Reader XI 11.x,11.x,2,0,ETB,ND
41,Adobe Systems,Adobe Reader XI 11.x,11.x,2,0,SW_top20,ND
42,Adobe Systems,Adobe Shockwave Player 11.x,11.x,2,1,ETB,ND
43,Adobe Systems,Adobe SVG Viewer 3.x,3.x,2,1,DGTI,ND
44,Microsoft,Advanced Security for Outlook 1.x,1.x,2,-1,DGTI,ND
45,IBM,AIX 5.x,5.x,1,-1,AIX,ND
46,IBM,Aix 6.x,6.x,1,-1,AIX 6x,ND
47,Altiris,Altiris Software Virtualization Solution 2.x,2.x,2,-1,DGTI,ND
48,Turnstyle,Andromeda 1.x,1.x,2,-1,DGE,ND
49,Apache Software Foundation,Apache Http Server 2.0.x,2.0.x,2,0,redhat,ND
50,Apache Software Foundation,Apache Http Server 2.0.x,2.0.x,2,0,Linux Gentoo,ND
51,Apache Software Foundation,Apache Http Server 2.0.x,2.0.x,2,0,Linux Mandrake 9.2,ND
52,Apache Software Foundation,Apache Http Server 2.0.x,2.0.x,2,0,Linux Mandrake 10.0,ND
53,Apache Software Foundation,Apache Tomcat 1.x,1.x,2,1,SW_top20,ND
54,Apache Software Foundation,Apache Tomcat 3.x,3.x,2,1,SW_top20,ND
55,Apache Software Foundation,Apache Tomcat 4.x,4.x,2,1,SW_top20,ND
56,Apache Software Foundation,Apache Tomcat 5.x,5.x,2,1,SW_top20,ND
57,Apache Software Foundation,Apache Tomcat 6.x,6.x,2,0,SW_top20,ND
58,Apache Software Foundation,Apache Tomcat 7.x,7.x,2,0,SW_top20,ND
59,Apache Software Foundation,Apache Tomcat JK Web Server Connector 1.x,1.x,2,-1,SW_top20,ND
60,Apache Software Foundation,Apache Tomcat Native Library 1.x,1.x,2,-1,SW_top20,ND
61,Apple,Apple iOS for iPad 5.x,5.x,1,-1,iPad,ND
62,Apple,Apple iPhone OS (iOS) 3.x,3.x,1,-1,Aplicaciones,ND
63,Apple,Apple iTunes 10.x,10.x,2,0,sw-Huerfano,ND
64,Apple,Apple iTunes 11.x,11.x,2,0,sw-Huerfano,ND
65,Apple,Apple iTunes 9.x,9.x,2,0,sw-Huerfano,ND
66,Apple,Apple QuickTime 6.x,6.x,2,1,Windows XP,ND
67,Apple,Apple QuickTime 7.x,7.x,2,-1,Windows XP,ND
68,Apple,Apple QuickTime 7.x,7.x,2,-1,ETB,ND
69,Apple,Apple QuickTime 7.x,7.x,2,-1,DGTI,ND
70,Apple,Apple QuickTime MPEG-2 Playback Component 7.x,7.x,2,-1,DGTI,ND
71,Apple,Apple Safari 5.x,5.x,2,1,sw-Huerfano,ND
72,Apple,Apple Safari 6.x,6.x,2,1,sw-Huerfano,ND
73,Apple,Apple Safari 7.x,7.x,2,-1,sw-Huerfano,ND
74,ArcSoft,ArcSoft PhotoStudio 4.x,4.x,2,-1,DGAI,ND
75,ArcSoft,ArcSoft PhotoStudio 5.x,5.x,2,-1,DGAI,ND
76,Autodesk,AutoCAD 2006,2006,2,1,DGTI,ND
77,Autodesk,AutoCAD 2008,2008,2,1,DGTI,ND
78,Autodesk,Autodesk VIZ 2006,2006,2,-1,DGTI,ND
79,AutoIt Consulting Ltd.,AutoIt 3.x,3.x,2,-1,DGOBC,ND
80,Avaya,Avaya Application Enablement Services 3.x,3.x,2,-1,SW Telefonía,ND
81,Avaya,Avaya Application Enablement Services 4.x,4.x,2,-1,SW Telefonía,ND
82,Avaya,Avaya CMS Supervisor,-1,2,-1,DGTI,ND
83,Avaya,Avaya CMS Supervisor,-1,2,-1,SW Telefonía,ND
