Vendor,Product,Version,Type,End-Of-Life
,"Gibberbot: Free Secure Chat 0.x",0.x,2,0
,"docked JS-Console 0.x (extension for Firefox)",0.x,2,0
,"SIPp 3.x",3.x,2,
,"AXMLComp ActiveX Control 1.x",1.x,2,
,"AM-DeadLink 2.x",2.x,2,
,"OnyX 2.x",2.x,2,0
,"NB5 ActiveX Control 5.x",5.x,2,
,"FlatNuke 2.x",2.x,2,
,"Week Calendar 1.x",1.x,2,0
,"SQL Reports 1.x (component for Joomla)",1.x,2,0
,"MzK Blog",,2,
,"WinUAE 14.x",14.x,2,
,"Himan Magazine 3.x",3.x,2,0
,"TYPO3 Backend 0.x (extension for Firefox)",0.x,2,
,"DriveCleanup 0.x",0.x,2,0
,"FicHive 1.x",1.x,2,
,"MuvEnum Address Bar 5.x",5.x,2,
,"Fresh Email Script 1.x",,2,
,"LastSharp 0.x",0.x,2,
,"Enspire 7.x",7.x,2,0
,"GrApple (Default Pro) 3.x (extension for Firefox)",3.x,2,
,"VideoDrive 2.x",2.x,2,0
,"JGroups 3.x",3.x,2,0
,"P3DActiveX ActiveX Control 0.x",0.x,2,0
,"Link Up Gold 2.x",2.x,2,
,"eNetman 1.x",1.x,2,
,"MilkShape 3D 1.x",1.x,2,0
,"Maximize Message Pane 0.x (extension for Firefox)",0.x,2,
,"Issue Dealer 0.x",0.x,2,
,"Netvouz Buttons 1.x (extension for Firefox)",1.x,2,
,"Todd Woolums ASP News Management  2.x",2.x,2,
,"ExplorerBarPlus 1.x",1.x,2,0
,"WebQuartz ActiveX Control 3.x",3.x,2,
,"Rack 1.x",1.x,2,0
,"Super Serious Stats 1.x",1.x,2,
,"Ezstream 0.x",0.x,2,
,"PwsPHP 1.x",1.x,2,1
,"openUrgence Vaccin 1.x",1.x,2,0
,"No Tab Close Button 0.x (extension for Firefox)",0.x,2,
,"ImDisk Virtual Disk Driver 1.x",1.x,2,0
,"Dashcode 2.x",2.x,2,0
,"DSDownload 1.x",1.x,2,
,"Xhosa Language Pack 2.x (extension for Firefox)",2.x,2,
,"eMCrypt 1.x",1.x,2,
,"BilboBlog 0.x",0.x,2,
,"VSFlex8l ActiveX Control 8.x",8.x,2,
,"MaxPayne 1.x",1.x,2,
,"GWD Text Editor 3.x",3.x,2,
,"IPTables/netfilter 1.4.x",1.4.x,2,0
,"MozLab 0.x (extension for Firefox)",0.x,2,
,"WOW64Menu 2.x",2.x,2,0
,"Verbix 6.x",6.x,2,
,"DSLR Notifier 2.x (extension for Firefox)",2.x,2,0
,"WordPress Mobiloud Plugin 2.x",2.x,2,0
,"HeyTell 3.x",3.x,2,0
,"WideChapter 3.x",3.x,2,
,"RISING OL2005 ActiveX Control 18.x",18.x,2,
,"phpMyRealty 3.x",3.x,2,0
,"Multi-Page Comment System 1.x",1.x,2,
,"TPTEST 3.x",3.x,2,
,"BeeHeard 1.x (component for Joomla!)",1.x,2,
,"ICTimeAttendance 1.x",1.x,2,0
,"R-Tech Commander Colony 1.x",1.x,2,0
,"Experian Bank Wizard Absolute 1.x",1.x,2,0
,"JBC Explorer 7.x",7.x,2,
,"alsa 1.x",1.x,2,0
,"PC Perspective Site Navigator v2 2.x (extension for Firefox)",2.x,2,
,"Back to Close 1.x (extension for Firefox)",1.x,2,0
,"MPM Guestbook 1.x",1.x,2,
,"PHP Pro Bid 6.x",6.x,2,
,"Midasa ActiveX Control 1.x",1.x,2,
,"JAF CMS 3.x",3.x,2,1
