Id,Vendor,Product,Version,Type,End-Of-Life
1,2Wire,2Wire HomePortal Series,,1,-1
2,2Wire,2Wire OfficePortal Series,,1,-1
3,2Wire,HomePortal Monitor Application 1.x,1.x,2,0
4,Acer,Acer Hardware Vendor Detection 1.x,1.x,2,0
5,Acer,Acer Updater 1.x,1.x,2,0
6,Acer,Acer ePower Management 1.x,1.x,2,-1
7,Acer,Acer eRecovery Management 4.x,4.x,2,0
8,Acer,Acer VCM 4.x,4.x,2,0
9,Acer,eRecovery 1.x,1.x,2,-1
10,Acer,Acer VCM 1.x,1.x,2,-1
11,Acer,Acer LunchApp.APlunch ActiveX Control 1.x,1.x,2,-1
12,Acer,Acer AcerCtrls.APlunch ActiveX Control,,2,-1
13,Acer,Acer OrbiCam 10.x,10.x,2,1
14,Acer,Acer Crystal Eye webcam 2.x,2.x,2,0
15,Acer,Acer Launch Manager 4.x,4.x,2,0
16,Acer,Acer Crystal Eye webcam 1.x,1.x,2,-1
17,Acer,Acer ePower Management 5.x,5.x,2,0
18,Acer,Acer Arcade 3.x,3.x,2,-1
19,Acer,eDisplay Management 1.x,1.x,2,0
20,Adobe Systems,Adobe Digital Editions 3.x,3.x,2,0
21,Adobe Systems,Adobe Acrobat X 10.x,10.x,2,0
22,Adobe Systems,Adobe InDesign CS6 8.x,8.x,2,0
23,Adobe Systems,Macromedia Contribute 1,1.x,2,0
24,Adobe Systems,Adobe Golive 5,5.x,2,1
25,Adobe Systems,Adobe LiveCycle Workflow 7.x,7.x,2,1
26,Adobe Systems,Adobe Creative Cloud 2.x,2.x,2,0
27,Adobe Systems,Adobe Help Center for Windows 2.x,,2,0
28,Adobe Systems,Adobe ScriptObject ActiveX Control 5.x,5.x,2,-1
29,Adobe Systems,Adobe Photoshop CS4 11.x,11.x,2,1
30,Adobe Systems,Adobe Bridge 2.x,2.x,2,1
31,Adobe Systems,Adobe Flash Media Server 3.x,3.x,2,0
32,Adobe Systems,Adobe FrameMaker 9.x,9.x,2,1
33,Adobe Systems,Adobe Updater 6.x,6.x,2,-1
34,Adobe Systems,Adobe Photoshop 7.x,7.x,2,1
35,Adobe Systems,Adobe PhotoDeluxe Business Edition 1.x,1.x,2,1
36,Adobe Systems,Adobe AIR 2.x,2.x,2,1
37,Adobe Systems,Adobe Illustrator CS6 16.x,16.x,2,0
38,Adobe Systems,Adobe LiveCycle Data Services 3.x,3.x,2,0
39,Adobe Systems,Adobe Photoshop Lightroom 3.x,3.x,2,0
40,Adobe Systems,Adobe Illustrator CS5 15.x,15.x,2,0
41,Adobe Systems,Adobe StreamLine 4.x,4.x,2,-1
42,Adobe Systems,Adobe Premiere Elements 11.x,11.x,2,0
43,Adobe Systems,Adobe PhotoDeluxe Home Edition 4.x,4.x,2,1
44,Adobe Systems,Adobe InCopy CS4 6.x,6.x,2,0
45,Adobe Systems,Adobe Encore CS4,4.x,2,0
46,Adobe Systems,Adobe Premiere Pro CS3 3.x,3.x,2,0
47,Adobe Systems,Adobe Audition CS6 5.x,5.x,2,0
48,Adobe Systems,Adobe Golive 6,6.x,2,1
49,Adobe Systems,Adobe Flash Player 13.x,13.x,2,0
50,Adobe Systems,Adobe Photoshop Elements 1.x,1.x,2,1
51,Adobe Systems,Adobe Dreamweaver CC 13.x,13.x,2,0
52,Adobe Systems,Adobe Premiere Elements 1.x,1.x,2,1
53,Adobe Systems,Adobe Updater 4.x,4.x,2,0
54,Adobe Systems,Adobe Document Server 6.x,6.x,2,1
55,Adobe Systems,Adobe After Effects CS5 10.x,10.x,2,0
56,Adobe Systems,Adobe Dreamweaver CS5 11.x,11.x,2,0
57,Adobe Systems,Adobe FrameMaker 5.x,5.x,2,1
58,Adobe Systems,Adobe LiveCycle Data Services 2.x,2.x,2,0
59,Adobe Systems,Adobe Photoshop Elements 9.x,9.x,2,0
60,Adobe Systems,ExtendScript Toolkit for Windows 2.x,2.x,2,-1
61,Adobe Systems,Macromedia Extension Manager 1.x,1.x,2,0
62,Adobe Systems,Adobe Photoshop Elements 8.x,8.x,2,1
63,Adobe Systems,Adobe Premiere Elements 2.x,2.x,2,1
64,Adobe Systems,Adobe InDesign CS5 7.x,7.x,2,0
65,Adobe Systems,Adobe Pagemaker 7.x,7.x,2,0
66,Adobe Systems,Adobe InCopy CS5 7.x,7.x,2,0
67,Adobe Systems,Adobe Photoshop Elements 7.x,7.x,2,1
68,Adobe Systems,Adobe Photoshop 4.x,4.x,2,1
69,Adobe Systems,Adobe Contribute Publishing Server 1.x,1.x,2,1
70,Adobe Systems,Adobe GoLive 9.x,9.x,2,1
71,Adobe Systems,Adobe AIR 3.x,3.x,2,1
72,Adobe Systems,Adobe GetPlus DLM ActiveX Control 1.x,1.x,2,0
73,Adobe Systems,Adobe Premiere Pro CS6 6.x,6.x,2,0
74,Adobe Systems,Adobe PDF Library SDK 11.x,11.x,2,0
75,Adobe Systems,Macromedia FlashPaper 2.x,2.x,2,1
76,Adobe Systems,Adobe Illustrator 8.x,8.x,2,1
77,Adobe Systems,Adobe InDesign CS4 6.x,6.x,2,0
78,Adobe Systems,Adobe Dreamweaver CS4 10.x,10.x,2,1
79,Adobe Systems,Adobe Photoshop CC 14.x,14.x,2,0
80,Adobe Systems,Adobe GoLive CS2 8.x,8.x,2,1
81,Adobe Systems,Adobe Application Manager 6.x,6.x,2,0
82,Adobe Systems,Adobe Flex 2.x,2.x,2,1
83,Adobe Systems,Adobe Updater 5.x,5.x,2,0
84,Adobe Systems,Adobe Acrobat XI 11.x,11.x,2,0
85,Adobe Systems,Adobe FrameMaker 6.x,6.x,2,1
86,Adobe Systems,Adobe BlazeDS 4.x,4.x,2,0
87,Adobe Systems,Adobe Connect 8.x,8.x,2,0
88,Adobe Systems,Adobe Photoshop Lightroom 1.x,1.x,2,1
89,Adobe Systems,Adobe Premiere Elements 7.x,7.x,2,1
90,Adobe Systems,Adobe LiveCycle 9.x,9.x,2,0
91,Adobe Systems,Adobe Premiere Pro CS5 5.x,5.x,2,0
92,Adobe Systems,Macromedia Fireworks MX,6.x,2,0
93,Adobe Systems,Adobe Reader XI 11.x,11.x,2,0
94,Adobe Systems,Adobe Premiere Elements 3.x,3.x,2,1
95,Adobe Systems,Adobe Photoshop Lightroom 5.x,5.x,2,0
96,Adobe Systems,Adobe Pagemaker 6.x,6.x,2,1
97,Adobe Systems,Adobe Connect Enterprise Server 6.x,6.x,2,0
98,Adobe Systems,Macromedia Contribute 2,,2,0
99,Adobe Systems,Macromedia Breeze 4.x,4.x,2,0
100,Adobe Systems,Adobe RoboHelp 9.x,9.x,2,0
101,Adobe Systems,Adobe After Effects CS6,11.x,2,0
102,Adobe Systems,Macromedia Director 8.x,8.x,2,0
103,Adobe Systems,Adobe Encore 5.x,5.x,2,0
104,Adobe Systems,Adobe Media Encoder CS6,6.x,2,0
105,Adobe Systems,Macromedia Flash 8 Video Encoder 1.x,1.x,2,0
106,Adobe Systems,Adobe Premiere Elements 4.x,4.x,2,1
107,Adobe Systems,Adobe Flash Player 10.x,10.x,2,1
108,Adobe Systems,Adobe Bridge CS4 3.x,3.x,2,0
109,Adobe Systems,Adobe Flash Player 11.x,11.x,2,0
110,Adobe Systems,Adobe Acrobat 9.x,9.x,2,1
111,Adobe Systems,Macromedia ColdFusion 5.x,5.x,2,0
112,Adobe Systems,Adobe Creative Suite 3 Web Standard,3.x,2,0
113,Adobe Systems,Adobe Illustrator 9.x,9.x,2,1
114,Adobe Systems,Adobe LiveCycle Reader Extensions 7.x,7.x,2,1
115,Adobe Systems,Adobe GoLive CS 7.x,7.x,2,1
116,Adobe Systems,Macromedia Flash Player 7.x,7.x,2,1
117,Adobe Systems,Adobe Reader for Palm OS 3.x,3.x,2,-1
118,Adobe Systems,Adobe Acrobat 5.x,5.x,2,1
119,Adobe Systems,Adobe Fireworks CS6,12.x,2,0
120,Adobe Systems,Adobe FrameMaker 7.x,7.x,2,1
121,Adobe Systems,Adobe InDesign CS3 5.x,5.x,2,1
122,Adobe Systems,Adobe Photoshop Album 1.x,1.x,2,1
123,Adobe Systems,Adobe LiveCycle 8.x,8.x,2,0
124,Adobe Systems,Macromedia FreeHand 10.x,10.x,2,1
125,Adobe Systems,Adobe RoboHelp 7.x,7.x,2,-1
126,Adobe Systems,Adobe InCopy 2.x,2.x,2,1
127,Adobe Systems,Adobe Download Manager 2.x,2.x,2,0
128,Adobe Systems,Macromedia RoboHelp Office X5,13.x,2,-1
129,Adobe Systems,Macromedia Flash Communication Server MX 1.x,1.x,2,0
130,Adobe Systems,Adobe RoboHelp 11.x,,2,0
131,Adobe Systems,Allaire JRun 3.0,3,2,1
132,Adobe Systems,Adobe Contribute CS5,6.x,2,0
133,Adobe Systems,Macromedia Flash Player 8.x,8.x,2,1
134,Adobe Systems,Adobe Photoshop CS 8.x,8.x,2,1
135,Adobe Systems,Adobe RoboHelp Server 7.x,7.x,2,-1
136,Adobe Systems,Adobe Encore CS6 6.x,6.x,2,0
137,Adobe Systems,Macromedia Flash 8.x,8.x,2,0
138,Adobe Systems,Adobe Photoshop Elements 6.x,6.x,2,1
139,Adobe Systems,Adobe AIR 1.x,1.x,2,1
140,Adobe Systems,Adobe GetPlus DLM 1.x (extension for Firefox),1.x,2,0
141,Adobe Systems,Adobe Photoshop Elements 3.x,3.x,2,1
142,Adobe Systems,Macromedia Jrun 3.x,3.x,2,0
143,Adobe Systems,Adobe Creative Suite 3 Web Premium,3.x,2,0
144,Adobe Systems,Adobe Illustrator 10.x,10.x,2,1
